date,consumer_sentiment,copper_price,deficit,velocity,oil_inv
1959-10-01,93.8,0.33114677419354843,-12849.0,1.779,31719
1960-01-01,100.0,0.32031746031746033,301.0,1.817,31613
1960-04-01,93.3,0.31105714285714287,301.0,1.797,31613
1960-07-01,97.2,0.3037468749999999,301.0,1.78,31613
1960-10-01,90.1,0.2822629032258065,301.0,1.737,31613
1961-01-01,91.6,0.2816806451612902,-3335.0,1.723,31759
1961-04-01,92.5,0.30617460317460327,-3335.0,1.724,31759
1961-07-01,99.2,0.30579206349206356,-3335.0,1.733,31759
1961-10-01,93.0,0.29959838709677405,-3335.0,1.742,31759
1962-01-01,99.9,0.3043000000000001,-7146.0,1.746,31389
1962-04-01,95.4,0.29300952380952366,-7146.0,1.728,31389
1962-07-01,91.6,0.28733174603174605,-7146.0,1.726,31389
1962-10-01,95.0,0.2863935483870968,-7146.0,1.701,31389
1963-01-01,98.4,0.2936822580645161,-4756.0,1.69,30970
1963-04-01,91.7,0.2985619047619047,-4756.0,1.675,30970
1963-07-01,96.4,0.2973953125,-4756.0,1.68,30970
1963-10-01,94.4,0.30025967741935483,-4756.0,1.672,30970
1964-01-01,99.5,0.3296741935483872,-5915.0,1.685,30991
1964-04-01,98.5,0.3784609375000001,-5915.0,1.679,30991
1964-07-01,100.6,0.41835937500000003,-5915.0,1.674,30991
1964-10-01,99.9,0.5533196721311474,-5915.0,1.653,30991
1965-01-01,102.0,0.4428655737704916,-1411.0,1.668,31352
1965-04-01,105.4,0.5084222222222223,-1411.0,1.669,31352
1965-07-01,103.4,0.5234984375,-1411.0,1.68,31352
1965-10-01,102.9,0.5624745762711865,-1411.0,1.693,31352
1966-01-01,100.0,0.6829571428571429,-3698.0,1.713,31452
1966-04-01,95.7,0.728531746031746,-3698.0,1.712,31452
1966-07-01,91.2,0.5886249999999998,-3698.0,1.733,31452
1966-10-01,88.3,0.5621000000000002,-3698.0,1.744,31452
1967-01-01,94.1,0.5089836065573772,-8643.0,1.739,31377
1967-04-01,95.9,0.4312187499999999,-8643.0,1.708,31377
1967-07-01,97.0,0.46296774193548385,-8643.0,1.694,31377
1967-10-01,92.9,0.5805901639344263,-8643.0,1.69,31377
1968-01-01,97.2,0.6695409836065571,-25161.0,1.715,30707
1968-04-01,92.4,0.47511967213114736,-25161.0,1.733,30707
1968-07-01,92.4,0.4524603174603175,-25161.0,1.73,30707
1968-10-01,91.7,0.4823491803278687,-25161.0,1.722,30707
1969-01-01,98.2,0.5341525423728813,3242.0,1.737,29632
1969-04-01,91.5,0.601768253968254,3242.0,1.749,29632
1969-07-01,86.4,0.6612380952380951,3242.0,1.774,29632
1969-10-01,79.7,0.7133083333333335,3242.0,1.773,29632
1970-01-01,78.1,0.7215593220338983,-2842.0,1.789,39001
1970-04-01,75.4,0.7086953125000002,-2842.0,1.804,39001
1970-07-01,77.6,0.5823281249999999,-2842.0,1.795,39001
1970-10-01,72.4,0.488688524590164,-2842.0,1.752,39001
1971-01-01,78.1,0.483532786885246,-23033.0,1.77,38063
1971-04-01,80.2,0.521174603174603,-23033.0,1.736,38063
1971-07-01,82.1,0.5002049180327871,-23033.0,1.717,38063
1971-10-01,82.0,0.4697666666666666,-23033.0,1.69,38063
1972-01-01,92.8,0.5068015873015873,-23373.0,1.696,36339
1972-04-01,88.6,0.4998828125,-23373.0,1.703,36339
1972-07-01,95.2,0.48436290322580655,-23373.0,1.679,36339
1972-10-01,90.7,0.4745762711864408,-23373.0,1.673,36339
1973-01-01,81.9,0.5879590163934427,-14908.0,1.694,35300
1973-04-01,77.0,0.7168412698412701,-14908.0,1.711,35300
1973-07-01,72.0,0.870849206349206,-14908.0,1.711,35300
1973-10-01,76.5,0.9633250000000004,-14908.0,1.739,35300
1974-01-01,61.8,1.0648852459016394,-6135.0,1.725,32250
1974-04-01,72.1,1.1850952380952382,-6135.0,1.748,32250
1974-07-01,64.4,0.7727812499999999,-6135.0,1.764,32250
1974-10-01,59.5,0.5903606557377049,-6135.0,1.781,32250
1975-01-01,57.6,0.5539,-53242.0,1.766,32682
1975-04-01,72.8,0.555359375,-53242.0,1.741,32682
1975-07-01,75.7,0.57396875,-53242.0,1.739,32682
1975-10-01,75.6,0.5446666666666665,-53242.0,1.75,32682
1976-01-01,84.6,0.5802539682539684,-73732.0,1.752,30942
1976-04-01,83.3,0.6990793650793652,-73732.0,1.731,30942
1976-07-01,89.7,0.7021874999999999,-73732.0,1.717,30942
1976-10-01,87.0,0.5898709677419354,-73732.0,1.699,30942
1977-01-01,87.1,0.6663492063492064,-53659.0,1.689,31780
1977-04-01,90.2,0.6315396825396823,-53659.0,1.701,31780
1977-07-01,89.0,0.5509206349206348,-53659.0,1.713,31780
1977-10-01,84.4,0.5684603174603174,-53659.0,1.715,31780
1978-01-01,82.3,0.5816666666666664,-59185.0,1.713,31355
1978-04-01,81.5,0.6052187499999998,-59185.0,1.78,31355
1978-07-01,80.4,0.635920634920635,-59185.0,1.795,31355
1978-10-01,73.5,0.6748709677419353,-59185.0,1.822,31355
1979-01-01,71.5,0.8336031746031748,-40726.0,1.832,29810
1979-04-01,66.6,0.8639444444444443,-40726.0,1.835,29810
1979-07-01,63.9,0.8680396825396824,-40726.0,1.846,29810
1979-10-01,62.1,0.9776190476190476,-40726.0,1.857,29810
1980-01-01,63.5,1.1460079365079365,-73830.0,1.869,29805
1980-04-01,54.4,0.8889047619047621,-73830.0,1.847,29805
1980-07-01,67.8,0.9483515625000001,-73830.0,1.831,29805
1980-10-01,72.1,0.9043870967741937,-73830.0,1.874,29805
1981-01-01,68.3,0.829758064516129,-78968.0,1.928,29426
1981-04-01,73.9,0.8023492063492064,-78968.0,1.9,29426
1981-07-01,74.8,0.784796875,-78968.0,1.925,29426
1981-10-01,65.7,0.74625,-78968.0,1.888,29426
1982-01-01,66.5,0.7039677419354841,-127977.0,1.842,27858
1982-04-01,66.2,0.6558333333333335,-127977.0,1.836,27858
1982-07-01,66.7,0.627984375,-127977.0,1.825,27858
1982-10-01,72.5,0.6533467741935484,-127977.0,1.804,27858
1983-01-01,75.3,0.7395238095238095,-207802.0,1.745,27735
1983-04-01,91.5,0.7679365079365084,-207802.0,1.753,27735
1983-07-01,91.2,0.7357578125000002,-207802.0,1.779,27735
1983-10-01,91.5,0.6416666666666665,-207802.0,1.797,27735
1984-01-01,99.5,0.6499365079365076,-185367.0,1.812,28446
1984-04-01,96.6,0.6442698412698413,-185367.0,1.82,28446
1984-07-01,98.9,0.5860238095238095,-185367.0,1.829,28446
1984-10-01,95.0,0.5817142857142857,-185367.0,1.818,28446
1985-01-01,94.5,0.6000483870967742,-212308.0,1.799,28416
1985-04-01,94.3,0.6242539682539683,-212308.0,1.795,28416
1985-07-01,92.8,0.6029444444444444,-212308.0,1.795,28416
1985-10-01,91.1,0.6189609375,-212308.0,1.792,28416
1986-01-01,95.5,0.6516147540983608,-221227.0,1.792,26889
1986-04-01,96.8,0.6316328125,-221227.0,1.76,26889
1986-07-01,94.8,0.5917222222222223,-221227.0,1.741,26889
1986-10-01,92.0,0.596595238095238,-221227.0,1.721,26889
1987-01-01,90.5,0.6210080645161291,-149730.0,1.718,27256
