,Date,Contraction,Unemployment,One Year Bond,Ten Year Bond,GDP,Discount Rate
0,1967-10-01,0.0,3.9,5.56,5.64,4615.853,4.23
1,1968-01-01,0.0,3.7,5.47,5.61,4709.9929999999995,4.55
2,1968-04-01,0.0,3.6,5.94,5.74,4788.688,5.4
3,1968-07-01,0.0,3.5,5.51,5.46,4825.799,5.41
4,1968-10-01,0.0,3.4,5.84,5.77,4844.779,5.29
5,1969-01-01,0.0,3.4,6.36,6.18,4920.605,5.5
6,1969-04-01,1.0,3.4,6.57,6.35,4935.564,5.98
7,1969-07-01,1.0,3.6,7.65,6.86,4968.164000000001,6.0
8,1969-10-01,1.0,3.6,7.9,7.3,4943.935,6.0
9,1970-01-01,1.0,4.2,7.55,7.37,4936.594,6.0
10,1970-04-01,1.0,4.8,7.45,7.71,4943.6,6.0
11,1970-07-01,1.0,5.2,6.94,7.46,4989.159000000001,6.0
12,1970-10-01,1.0,5.8,5.65,6.85,4935.693,5.79
13,1971-01-01,0.0,5.9,4.05,6.02,5069.746,4.96
14,1971-04-01,0.0,5.9,4.99,6.25,5097.179,4.75
15,1971-07-01,0.0,6.0,5.75,6.48,5139.128,4.96
16,1971-10-01,0.0,5.9,4.73,5.89,5151.245,4.84
17,1972-01-01,0.0,5.8,4.41,6.03,5245.974,4.5
18,1972-04-01,0.0,5.7,4.84,6.14,5365.045,4.5
19,1972-07-01,0.0,5.6,5.15,6.29,5415.7119999999995,4.5
20,1972-10-01,0.0,5.4,5.44,6.37,5506.396,4.5
21,1973-01-01,0.0,4.9,6.31,6.6,5642.669,5.11
22,1973-04-01,0.0,4.9,7.02,6.81,5704.098000000001,5.91
23,1973-07-01,0.0,4.8,8.51,7.21,5674.1,7.26
24,1973-10-01,1.0,4.8,7.41,6.75,5727.96,7.5
25,1974-01-01,1.0,5.1,7.35,7.05,5678.713000000001,7.5
26,1974-04-01,1.0,5.2,8.69,7.54,5692.21,7.87
27,1974-07-01,1.0,5.6,9.01,7.96,5638.411,8.0
28,1974-10-01,1.0,6.6,7.67,7.67,5616.526,7.94
29,1975-01-01,1.0,8.3,6.31,7.54,5548.156,6.87
30,1975-04-01,0.0,8.9,6.53,8.05,5587.8,6.12
31,1975-07-01,0.0,8.5,7.52,8.3,5683.444,6.0
32,1975-10-01,0.0,8.3,6.68,8.06,5759.972,6.0
33,1976-01-01,0.0,7.7,5.98,7.75,5889.5,5.6
34,1976-04-01,0.0,7.6,6.28,7.77,5932.710999999999,5.5
35,1976-07-01,0.0,7.7,6.01,7.73,5965.265,5.5
36,1976-10-01,0.0,7.8,5.23,7.19,6008.504,5.39
37,1977-01-01,0.0,7.5,5.42,7.35,6079.494000000001,5.25
38,1977-04-01,0.0,7.1,5.69,7.37,6197.686,5.25
39,1977-07-01,0.0,6.9,6.28,7.36,6309.514,5.42
40,1977-10-01,0.0,6.7,6.96,7.6,6309.651999999999,5.93
41,1978-01-01,0.0,6.3,7.31,8.01,6329.791,6.46
42,1978-04-01,0.0,6.0,7.79,8.32,6574.39,6.78
43,1978-07-01,0.0,6.0,8.45,8.49,6640.496999999999,7.5
44,1978-10-01,0.0,5.9,9.82,8.82,6729.755,9.09
45,1979-01-01,0.0,5.9,10.3,9.11,6741.854,9.5
46,1979-04-01,1.0,5.7,9.94,9.11,6749.063,9.5
47,1979-07-01,1.0,5.9,10.15,9.1,6799.2,10.21
48,1979-10-01,1.0,6.0,12.27,10.45,6816.203,11.92
49,1980-01-01,1.0,6.3,13.93,11.99,6837.641,12.51
50,1980-04-01,1.0,7.3,10.28,10.48,6696.753000000001,12.45
51,1980-07-01,0.0,7.7,10.14,10.95,6688.794,10.35
52,1980-10-01,0.0,7.4,13.84,12.42,6813.535,11.78
53,1981-01-01,0.0,7.4,14.12,12.96,6947.0419999999995,13.0
54,1981-04-01,1.0,7.4,15.13,13.75,6895.559,13.62
55,1981-07-01,1.0,7.4,16.32,14.85,6978.135,14.0
56,1981-10-01,1.0,8.2,13.55,14.09,6902.105,13.04
57,1982-01-01,1.0,8.8,14.33,14.29,6794.878000000001,12.0
58,1982-04-01,1.0,9.4,13.8,13.93,6825.876,12.0
59,1982-07-01,0.0,9.9,11.84,13.12,6799.781,10.83
60,1982-10-01,0.0,10.7,9.13,10.67,6802.496999999999,9.25
61,1983-01-01,0.0,10.4,8.86,10.56,6892.144,8.5
62,1983-04-01,0.0,10.1,9.18,10.54,7048.982,8.5
63,1983-07-01,0.0,9.4,10.3,11.63,7189.896,8.5
64,1983-10-01,0.0,8.5,9.95,11.69,7339.893,8.5
65,1984-01-01,0.0,7.9,10.18,11.94,7483.371,8.5
66,1984-04-01,0.0,7.4,11.55,13.2,7612.668000000001,8.96
67,1984-07-01,0.0,7.4,11.81,12.87,7686.059,9.0
68,1984-10-01,0.0,7.3,10.02,11.74,7749.151,8.73
69,1985-01-01,0.0,7.2,9.39,11.58,7824.246999999999,8.0
70,1985-04-01,0.0,7.3,8.47,10.81,7893.1359999999995,7.77
71,1985-07-01,0.0,7.2,7.99,10.34,8013.674,7.5
