date,consumer_sentiment,copper_price,deficit,velocity,oil_inv,Contraction,Unemployment,One Year Bond,Ten Year Bond,GDP,Discount Rate
1960-04-01,93.3,0.31105714285714287,301.0,1.797,31613,1.0,5.2,3.87,4.26,3258.088,3.88
1960-07-01,97.2,0.3037468749999999,301.0,1.78,31613,1.0,5.5,3.07,3.83,3274.0290000000005,3.23
1960-10-01,90.1,0.2822629032258065,301.0,1.737,31613,1.0,6.3,2.99,3.89,3232.009,3.0
1961-01-01,91.6,0.2816806451612902,-3335.0,1.723,31759,0.0,6.8,2.87,3.79,3253.826,3.0
1961-04-01,92.5,0.30617460317460327,-3335.0,1.724,31759,0.0,7.0,2.94,3.79,3309.059,3.0
1961-07-01,99.2,0.30579206349206356,-3335.0,1.733,31759,0.0,6.8,3.01,3.98,3372.581,3.0
1961-10-01,93.0,0.29959838709677405,-3335.0,1.742,31759,0.0,6.2,3.1,3.97,3438.7209999999995,3.0
1962-01-01,99.9,0.3043000000000001,-7146.0,1.746,31389,0.0,5.6,3.21,4.02,3500.054,3.0
1962-04-01,95.4,0.29300952380952366,-7146.0,1.728,31389,0.0,5.5,3.02,3.87,3531.683,3.0
1962-07-01,91.6,0.28733174603174605,-7146.0,1.726,31389,0.0,5.6,3.18,3.99,3575.07,3.0
1962-10-01,95.0,0.2863935483870968,-7146.0,1.701,31389,0.0,5.5,3.0,3.9,3586.827,3.0
1963-01-01,98.4,0.2936822580645161,-4756.0,1.69,30970,0.0,5.8,3.03,3.89,3625.981,3.0
1963-04-01,91.7,0.2985619047619047,-4756.0,1.675,30970,0.0,5.7,3.14,3.96,3666.669,3.0
1963-07-01,96.4,0.2973953125,-4756.0,1.68,30970,0.0,5.5,3.53,4.03,3747.278,3.41
1963-10-01,94.4,0.30025967741935483,-4756.0,1.672,30970,0.0,5.6,3.73,4.12,3771.845,3.5
1964-01-01,99.5,0.3296741935483872,-5915.0,1.685,30991,0.0,5.5,3.83,4.18,3851.366,3.5
1964-04-01,98.5,0.3784609375000001,-5915.0,1.679,30991,0.0,5.2,3.86,4.2,3893.296,3.5
1964-07-01,100.6,0.41835937500000003,-5915.0,1.674,30991,0.0,5.0,3.77,4.19,3954.121,3.5
1964-10-01,99.9,0.5533196721311474,-5915.0,1.653,30991,0.0,5.0,3.93,4.17,3966.335,3.71
1965-01-01,102.0,0.4428655737704916,-1411.0,1.668,31352,0.0,4.9,4.01,4.2,4062.311,4.0
